RegionID,Unnamed: 0,Unnamed: 0.1,Latitude,Longitude,FSA,Characteristic_1,Characteristic_2,Characteristic_3,Stories,geometry,distance,Average Loss per event,Average Loss per year,Number of Event
190011,0,452174,45.554169,-80.254166,P0G,3,11,23,0,POINT (-80.254166 45.554169),0.0,12.92228089549523,1.1285027906035985,8733
190010,1,452173,45.545834,-80.262497,P0G,3,11,23,0,POINT (-80.262497 45.545834),1131.2891111234337,11.16740487403053,0.9816148884272836,8790
190007,2,452170,45.520832,-80.270836,P0G,3,11,23,0,POINT (-80.270836 45.520832),3927.705195818962,7.403883034918129,0.6704956476421858,9056
190006,3,452169,45.512501,-80.270836,P0G,3,11,23,0,POINT (-80.270836 45.512501),4811.773461860733,6.471367951459283,0.5916124581224076,9142
190013,4,452176,45.495834,-80.245834,P0G,3,11,23,0,POINT (-80.245834 45.495834),6518.951103948546,5.474774566728764,0.508770800486104,9293
190016,5,452179,45.404167,-80.237503,P0G,3,11,23,0,POINT (-80.237503 45.404167),16729.97994544864,2.68146148816249,0.2725705602717171,10165
